REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;DATA DA ABERTURA;ETAPA ATUAL PROCESSO FCP;Nº DA PORTARIA;DATA DA PORTARIA NO DOU;Nº PROCESSO INCRA;ETAPA DO PROCESSO DE TITULAÇÃO
SUL;RS;PELOTAS;VÓ ELVIRA;01420.002165/2009-84;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002572/2009-12;
SUL;RS;SÃO LOURENÇO DO SUL;MONJOLO;01420.002161/2009-04;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002578/2009-81;
SUL;RS;SÃO LOURENÇO DO SUL;RINCÃO DAS ALMAS;01420.002173/2009-21;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002577/2009-37;
SUL;RS;SÃO LOURENÇO DO SUL;COXILHA NEGRA;01420.002170/2009-97;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002580/2009-51;
SUL;RS;SÃO LOURENÇO DO SUL;PICADA;01420.002167/2009-73;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002576/2009-92;
SUL;RS;PEDRAS ALTAS;VÁRZEA DOS BAIANOS;01420.002156/2009-93;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002568/2009-46;
SUL;RS;PEDRAS ALTAS;SOLIDÃO;01420.002155/2009-49;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002569/2009-91;
SUL;RS;PEDRAS ALTAS;BOLSA DO CANDIOTA;01420.002154/2009-02;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002570/2009-15;
SUL;RS;CANGUÇU;ESTÂNCIA DA FIGUEIRA;01420.002175/2009-10;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002563/2009-13;
SUL;RS;CANGUÇU;MAÇAMBIQUE;01420.002160/2009-31;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002565/2009-11;
SUL;RS;CANGUÇU;CERRO DAS VELHAS;01420.002166/2009-29;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002564/2009-68;
SUL;RS;CRISTAL;SERRINHA DO CRISTAL;01420.002179/2009-06;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002566/2009-57;
SUL;RS;MORRO REDONDO;VÓ ERNESTINA;01420.002178/2009-53;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002567/2009-00;
SUL;RS;ACEGUÁ;TAMANDUÁ;01420.002174/2009-75;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002560/2009-80;
SUL;RS;ACEGUÁ;VILA DA LATA;01420.002158/2009-82;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002561/2009-24;
SUL;RS;CERRITO;LICHIGUANA;01420.002169/2009-62;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002584/2009-39;
SUL;RS;SÃO LOURENÇO DO SUL;TORRÃO;01420.000827/2005-58;28/04/2005;CERTIFICADA;51/2010;24/03/2010;54220.002579/2009-26;
SUL;RS;JAGUARÃO;MADEIRA;01420.002177/2009-17;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002583/2009-94;
SUL;RS;PELOTAS;ALGODÃO;01420.002163/2009-95;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002571/2009-60;
SUL;RS;TURUÇU;MUTUCA;01420.002168/2009-18;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002581/2009-03;
SUL;RS;ARROIO DO PADRE;VILA PROGRESSO;01420.002176/2009-64;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002582/2009-40;
SUL;RS;PIRATINI;RINCÃO DO QUILOMBO;01420.002172/2009-86;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002574/2009-01;
SUL;RS;SANTANA DA BOA VISTA;TIO DÔ;01420.002171/2009-31;20/08/2009;CERTIFICADA;51/2010;24/03/2010;54220.002575/2009-48;
NORTE;TO;BREJINHO DE NAZARÉ;CURRALINHO DO PONTAL;01420.002267/2009-08;11/09/2009;CERTIFICADA;51/2010;24/03/2010;54400.000825/2010-21 ;
NORDESTE;CE;IPUEIRAS;SITIO TROMBETAS;01420.002470/2009-76;15/09/2009;CERTIFICADA;51/2010;24/03/2010;54130.001213/2010-82 ;
NORTE;TO;MURICILÂNDIA;DONA JUSCELINA;01420.002412/2009-42;10/09/2009;CERTIFICADA;51/2010;24/03/2010;54400.000823/2010-31 ;
NORTE;TO;JAÚ DO TOCANTINS;RIO DAS ALMAS;01420.002461/2009-85;11/09/2009;CERTIFICADA;51/2010;24/03/2010;54400.000824/2010-86 ;
NORDESTE;BA;BARRO ALTO;VOLTA GRANDE;01420.002828/2008-80;22/09/2008;CERTIFICADA;51/2010;24/03/2010;;
NORDESTE;BA;BARRO ALTO;MALVINAS;01420.002832/2008-48;22/09/2008;CERTIFICADA;51/2010;24/03/2010;;
NORDESTE;BA;BARRO ALTO;SEGREDO;01420.002141/2008-44;23/07/2008;CERTIFICADA;51/2010;24/03/2010;;
NORDESTE;MA;VARGEM GRANDE;CAETANA, PIQUI DA RAMPA, RAMPA e SÃO JOAQUIM DA RAMPA;01420.000177/2010-16;26/01/2010;CERTIFICADA;51/2010;24/03/2010;54230.001872/2005-00 ;
CENTRO-OESTE;MT;BARRA DO BUGRES | PORTO ESTRELA;VÃOZINHO/VOLTINHA;01420.001181/2007-98;11/05/2007;CERTIFICADA;51/2010;24/03/2010;54240.002144/2007-81 ;
CENTRO-OESTE;MT;BARRA DO BUGRES;MORRO REDONDO;01420.001177/2007-20;11/05/2007;CERTIFICADA;59/2010;28/04/2010;54240.002147/2007-15 ;
NORDESTE;BA;RIBEIRÃO DO LARGO;THIAGOS;01420.002507/2009-66;16/09/2009;CERTIFICADA;185/2009;19/11/2009;54160.002848/2013-92;
NORDESTE;PE;OROCÓ;FAZENDA CAATINGUINHA, MATA SÃO JOSÉ, REMANSO, UMBURANA e VITORINO;01420.001597/2007-14;22/06/2007;CERTIFICADA;51/2010;24/03/2010;54141.000431/2010-71;
NORDESTE;MA;CAPINZAL DO NORTE | PERITORÓ;PITORÓ DOS PRETOS;01420.002648/2009-89;01/10/2009;CERTIFICADA;51/2010;24/03/2010;54230.005015/2004-11;RTID
NORDESTE;BA;IBITITÁ;LAGOA DA PEDRA;01420.002651/2009-01;02/10/2009;CERTIFICADA;51/2010;24/03/2010;54160.001277/2012-98;
NORDESTE;BA;IBITITÁ;BARRO DURO;01420.002650/2009-58;02/10/2009;CERTIFICADA;51/2010;24/03/2010;54160.000844/2012-99;
NORDESTE;BA;IBITITÁ;BATATA;01420.002649/2009-23;02/10/2009;CERTIFICADA;51/2010;24/03/2010;54160.000842/2012-08;
NORDESTE;PB;DIAMANTE;SÍTIO VACA MORTA;01420.002425/2009-11;18/09/2009;CERTIFICADA;51/2010;24/03/2010;54320.001154/2009-71 ;RTID
CENTRO-OESTE;GO;CRISTALINA;INOCÊNCIO PEREIRA DE OLIVEIRA;01420.001463/2009-57;22/06/2009;CERTIFICADA;51/2010;24/03/2010;;
NORDESTE;MA;SÃO VICENTE FERRER;CHARCO;01420.002727/2009-90;09/10/2009;CERTIFICADA;51/2010;24/03/2010;54230.004050/2009-28;DECRETO NO DOU
NORTE;AP;MACAPÁ;CURRALINHO;01420.003000/2009-20;04/11/2009;CERTIFICADA;51/2010;24/03/2010;54350.000511/2012-22 ;
NORTE;AP;SANTANA;NOSSA SENHORA DO DESTERRO DOS DOIS IRMÃOS;01420.002984/2009-21;03/11/2009;CERTIFICADA;51/2010;24/03/2010;54350.000100/2012-37 ;
NORTE;AP;MACAPÁ;SÃO JOÃO DO MATAPI;01420.003001/2009-74;04/11/2009;CERTIFICADA;51/2010;24/03/2010;;
NORDESTE;BA;IBIPEBA;SEGREDO;01420.001167/2007-94;11/05/2007;CERTIFICADA;51/2010;24/03/2010;;
NORDESTE;MA;GUIMARÃES;MACAJUBAL;01420.003385/2009-25;14/12/2009;CERTIFICADA;51/2010;24/03/2010;54230.005651/2011-72 ;
SUL;RS;TAVARES;VÓ MARINHA;01420.000248/2010-72;19/01/2010;CERTIFICADA;51/2010;24/03/2010;54220.001451/2007-83;
NORDESTE;CE;BATURITÉ;SERRA DO EVARISTO;01420.000278/2010-89;07/02/2010;CERTIFICADA;51/2010;24/03/2010;54130.000224/2014-79 ;
NORDESTE;BA;AMÉRICA DOURADA;LAJEDÃO DOS MATEUS;01420.003381/2009-47;11/12/2009;CERTIFICADA;59/2010;28/04/2010;;
NORDESTE;BA;AMÉRICA DOURADA;LAPINHA;01420.000173/2010-20;28/01/2010;CERTIFICADA;59/2010;28/04/2010;54160.002239/2013-33;
NORDESTE;MA;BEQUIMÃO;RAMAL DE QUINDÍUA;01420.000088/2010-61;06/01/2010;CERTIFICADA;59/2010;28/04/2010;54230.007548/2009-42 ;
SUDESTE;MG;PITANGUI;VELOSO;01420.002916/2009-62;12/11/2009;CERTIFICADA;59/2010;28/04/2010;54170.002548/2010-41;
SUDESTE;MG;CHAPADA GAÚCHA;BARRO VERMELHO;01420.002991/2009-23;04/11/2009;CERTIFICADA;59/2010;28/04/2010;54170.007273/2009-07;
SUDESTE;MG;COLUNA;FURTUOSO E VARJÃO;01420.000193/2010-09;10/02/2010;CERTIFICADA;59/2010;28/04/2010;54170.002546/2010-52;
SUDESTE;MG;COLUNA;PITANGUEIRAS E SUASSUÍ;01420.000192/2010-56;10/02/2010;CERTIFICADA;59/2010;28/04/2010;54170.002549/2010-96;
SUDESTE;MG;MINAS NOVAS;CURRALINHO;01420.000004/2010-90;19/12/2009;CERTIFICADA;59/2010;28/04/2010;54170.002545/2010-16;
NORTE;PA;ACARÁ;ITACOÃZINHO E SANTA QUITÉRIA;01420.003436/2009-19;09/12/2009;CERTIFICADA;59/2010;28/04/2010;;
NORTE;TO;DIANÓPOLIS;LAJEADO;01420.002681/2008-28;03/09/2008;CERTIFICADA;59/2010;28/04/2010;54400.001267/2005-53 ;RTID
NORDESTE;CE;TAMBORIL;BRUTOS;01420.003085/2009-46;29/10/2009;CERTIFICADA;59/2010;28/04/2010;54130.001203/2008-22 ;DECRETO NO DOU
NORDESTE;PI;ISAÍAS COELHO;BARREIRAS, CABECA DA VACA, CIPOAL, MORRINHO E SAPE;01420.002838/2008-15;02/10/2008;CERTIFICADA;59/2010;28/04/2010;54380.002904/2006-75;TITULADO
NORTE;AP;SANTANA;ALTO PIRATIVA;01420.001757/2007-17;10/07/2007;CERTIFICADA;59/2010;28/04/2010;54350.000260/2014-48 ;
NORTE;AP;SANTANA;CINCO CHAGAS;01420.002363/2009-48;09/09/2009;CERTIFICADA;59/2010;28/04/2010;54350.000902/2008-61 ;
NORTE;AP;TARTARUGALZINHO;SÃO TOMÉ DO APOREMA;01420.000123/2010-42;20/01/2010;CERTIFICADA;59/2010;28/04/2010;54350.000691/2008-66 ;
NORTE;AP;MACAPÁ;SANTO ANTÔNIO DO MATAPI;01420.002873/2007-53;18/10/2007;CERTIFICADA;59/2010;28/04/2010;54350.000120/2014-70 ;
NORTE;AP;MACAPÁ;RESSACA DA PEDREIRA;01420.000124/2010-97;16/03/2010;CERTIFICADA;59/2010;28/04/2010;54350.001002/2011-36;
NORDESTE;MA;SÃO VICENTE FERRER;SANTA ROSA;01420.003519/2009-16;10/11/2009;CERTIFICADA;59/2010;28/04/2010;;
NORDESTE;MA;SANTA RITA;SANTA RITA DO VALE;01420.000084/2010-83;12/01/2010;CERTIFICADA;59/2010;28/04/2010;;
NORDESTE;MA;ICATU;JACAREÍ DOS PRETOS;01420.000238/2010-37;10/02/2010;CERTIFICADA;59/2010;28/04/2010;54230.004154/2008-51;RTID
NORDESTE;MA;COLINAS;CAMBIRIMBA;01420.000637/2010-06;30/03/2010;CERTIFICADA;59/2010;28/04/2010;54230.010617/2010-39;
SUL;RS;TAVARES;CAPOROROCAS;01420.000247/2010-28;03/02/2010;CERTIFICADA;59/2010;28/04/2010;54220.000733/2009-25;
SUL;RS;CANGUÇU;CERRO DA VIGÍLIA;01420.003123/2009-61;06/11/2009;CERTIFICADA;59/2010;28/04/2010;54220.003376/2009-57;
SUL;RS;PIRATINI;FAXINA;01420.003124/2009-13;06/11/2009;CERTIFICADA;59/2010;28/04/2010;;
SUL;RS;PIRATINI;RINCÃO DO COURO;01420.003125/2009-50;06/11/2009;CERTIFICADA;59/2010;28/04/2010;54220.003377/2009-00;
SUL;RS;SÃO JOSÉ DO NORTE;VILA NOVA;01420.003122/2009-16;06/11/2009;CERTIFICADA;59/2010;28/04/2010;54220.003378/2009-46;
NORDESTE;CE;NOVO ORIENTE;BOM SUCESSO;01420.000455/2010-27;01/03/2010;CERTIFICADA;59/2010;28/04/2010;;
NORDESTE;CE;SALITRE;SERRA DOS CHAGAS;01420.003507/2008-01;26/11/2008;CERTIFICADA;59/2010;28/04/2010;54130.000662/2007-16 ;PORTARIA NO DOU
NORDESTE;BA;FILADÉLFIA;AGUADAS;01420.001318/2009-76;05/06/2009;CERTIFICADA;59/2010;28/04/2010;54160.001817/2013-14;
NORDESTE;MA;CENTRAL DO MARANHÃO;ANGELIM;01420.000650/2010-57;30/03/2010;CERTIFICADA;59/2010;28/04/2010;;
SUDESTE;MG;PASSA TEMPO;CACHOEIRA DOS FORROS;01420.003102/2008-64;13/10/2008;CERTIFICADA;59/2010;28/04/2010;54170.002547/2010-05;
NORDESTE;PE;MIRANDIBA;QUEIMADAS;01420.001280/2007-70;22/05/2007;CERTIFICADA;59/2010;28/04/2010;54141.000358/2009-01;
NORDESTE;BA;PLANALTO;LAGOINHA;01420.003429/2009-17;17/12/2009;CERTIFICADA;59/2010;28/04/2010;54160.002582/2014-69;
NORDESTE;MA;GUIMARÃES;PORTO DAS CABECEIRAS;01420.000341/2010-87;25/02/2010;CERTIFICADA;59/2010;28/04/2010;54230.005650/2011-28 ;
NORDESTE;MA;SÃO BENTO;GUARAPIRANGA;01420.000523/2010-58;16/03/2010;CERTIFICADA;59/2010;28/04/2010;;
NORDESTE;MA;SÃO BENTO;MACAJUBAL;01420.000362/2010-01;11/02/2010;CERTIFICADA;59/2010;28/04/2010;;
CENTRO-OESTE;MS;CORUMBÁ;RIBEIRINHA FAMÍLIA OSÓRIO;01420.000991/2010-22;05/05/2010;CERTIFICADA;82/2010;06/07/2010;54290.001605/2010-17 ;
SUDESTE;MG;PEDRO LEOPOLDO;POVOADO DE PIMENTEL;01420.000721/2010-11;07/03/2010;CERTIFICADA;82/2010;06/07/2010;54170.00727220/09-54;
NORDESTE;BA;WENCESLAU GUIMARÃES;RIO PRETO;01420.000511/2010-23;30/03/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;NOVA IBIÁ;CANARISCO;01420.002711/2009-87;10/08/2006;CERTIFICADA;82/2010;06/07/2010;54160.001341/2013-11;
NORDESTE;BA;RIO REAL;MOCAMBO DO RIO AZUL;01420.000122/2010-06;19/01/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;ARAMARI;OLHOS D´ ÁGUA;01420.003240/2009-24;27/11/2009;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;CAIRU;BATATEIRA;01420.003055/2009-30;10/11/2005;CERTIFICADA;82/2010;06/07/2010;54160.003873/2010-41;RTID
NORDESTE;BA;ANTÔNIO CARDOSO;GAVIÃO, CAVACO E PAUS ALTOS;01420.003428/2009-72;17/12/2009;CERTIFICADA;82/2010;06/07/2010;54160.003605/2014-52;
NORDESTE;BA;BIRITINGA;VILA NOVA;01420.001186/2007-11;11/05/2007;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;JEREMOABO;CASINHAS;01420.003303/2009-42;16/06/2005;CERTIFICADA;82/2010;06/07/2010;54160.000792/2011-70;
NORDESTE;BA;CAETITÉ;PAU FERRO;01420.001106/2010-22;25/05/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;CAETITÉ;VEREDA DO CAIS;01420.001105/2010-88;25/05/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;CAETITÉ;SAPÉ;01420.001107/2010-77;25/05/2010;CERTIFICADA;82/2010;06/07/2010;54160.001801/2011-40;
NORDESTE;BA;ITAGUAÇU DA BAHIA;CAJUEIRO;01420.003065/2009-75;01/04/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;ITACARÉ;SERRA DE ÁGUA;01420.000451/2010-49;30/03/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;IGAPORÃ;GURUNGA;01420.001102/2010-44;24/05/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;BA;CAETITÉ;MERCÊS;01420.001103/2010-99;25/05/2010;CERTIFICADA;82/2010;06/07/2010;54160.000787/2013-29;
NORDESTE;BA;CAETITÉ;LAGOA DO MEIO;01420.001111/2010-35;25/05/2010;CERTIFICADA;82/2010;06/07/2010;54160.000786/2013-84;
NORDESTE;BA;CAETITÉ;CONTENDAS;01420.001108/2010-11;25/05/2010;CERTIFICADA;82/2010;06/07/2010;54160.000789/2013-18;
NORDESTE;BA;CAETITÉ;OLHO D'ÀGUA;01420.001109/2010-66;25/05/2010;CERTIFICADA;82/2010;06/07/2010;54160.001253/2013-13;
NORDESTE;BA;CAETITÉ;SAMBAÍBA;01420.001110/2010-91;25/05/2010;CERTIFICADA;82/2010;06/07/2010;54160.000788/2013-73;
NORDESTE;MA;ROSÁRIO;MIRANDA;01420.001027/2010-11;11/05/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;MA;SANTA HELENA;JANAUBEIRA;01420.000493/2010-80;10/03/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;MA;MATINHA;SÃO FRANCISCO;01420.000459/2010-13;26/02/2010;CERTIFICADA;82/2010;06/07/2010;54230.002429/2009-01 ;
NORDESTE;MA;SERRANO DO MARANHÃO;VERA CRUZ;01420.000494/2010-24;16/03/2010;CERTIFICADA;82/2010;06/07/2010;54230.003938/2011-68 ;
NORDESTE;MA;CAPINZAL DO NORTE;SANTA CRUZ ;01420.000002/2010-09;16/12/2009;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;MA;SERRANO DO MARANHÃO;ITENO;01420.000496/2010-13;10/03/2010;CERTIFICADA;82/2010;06/07/2010;54230.005749/2011-20 ;
NORDESTE;MA;SERRANO DO MARANHÃO;RIO DE PEIXE;01420.000495/2010-79;10/03/2010;CERTIFICADA;82/2010;06/07/2010;54230.005795/2011-29 ;
NORDESTE;MA;CENTRAL DO MARANHÃO;MONTE CRISTO;01420.001006/2010-04;12/05/2010;CERTIFICADA;82/2010;06/07/2010;54230.006878/2009-11 ;
NORDESTE;MA;SANTA RITA;VILA FÉ EM DEUS;01420.000315/2010-59;19/02/2010;CERTIFICADA;82/2010;06/07/2010;54230.000810/2010-61 ;
NORDESTE;MA;PERITORÓ;LAGO GRANDE;01420.000901/2010-01;22/04/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;MA;SERRANO DO MARANHÃO;VISTA ALEGRE;01420.000492/2010-35;16/03/2010;CERTIFICADA;82/2010;06/07/2010;54230.002484/2011-16 ;
SUL;SC;SANTO AMARO DA IMPERATRIZ;CALDAS DO CUBATÃO;01420.000595/2010-03;24/03/2010;CERTIFICADA;82/2010;06/07/2010;54210.000818/2009-22 ;
NORDESTE;MA;ICATU;POVOADO DE RETIRO;01420.001005/2010-51;12/05/2010;CERTIFICADA;82/2010;06/07/2010;54230.011319/2010-66 ;
SUDESTE;MG;SABINÓPOLIS;CÓRREGO MESTRE;01420.000543/2010-29;05/03/2010;CERTIFICADA;82/2010;06/07/2010;54170.003934/2010-51;
NORDESTE;BA;CAETITÉ;VARGEM DO SAL;01420.001104/2010-33;25/05/2010;CERTIFICADA;82/2010;06/07/2010;54160.000785/2013-30;
NORTE;PA;CACHOEIRA DO ARARI;GURUPÁ;01420.001132/2010-51;20/05/2010;CERTIFICADA;82/2010;06/07/2010;54100.002233/2005-61;DECRETO NO DOU
NORDESTE;BA;IGAPORÃ;LAPINHA;01420.001228/2010-19;07/06/2010;CERTIFICADA;82/2010;06/07/2010;;
SUL;RS;GIRUÁ;CORREA;01420.001268/2010-61;17/06/2010;CERTIFICADA;82/2010;06/07/2010;54220.002999/2013-99;
NORTE;TO;BREJINHO DE NAZARÉ;MANOEL JOÃO;01420.003616/2008-10;24/11/2008;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;MA;ROSÁRIO;PAISSANDU e REFORMA;01420.000667/2010-12;05/04/2010;CERTIFICADA;82/2010;06/07/2010;;
NORDESTE;PI;PAULISTANA;CONTENTE;01420.003189/2010-94;16/09/2010;CERTIFICADA;116/2010;28/09/2010;54380.000192/2011-17;
NORTE;AP;MACAPÁ;SÃO JOSÉ DO MATAPI DO PORTO DO CÉU;01420.002945/2010-68;13/09/2010;CERTIFICADA;135/2010;04/11/2010;54350.000014/2013-13 ;
NORTE;AP;FERREIRA GOMES;IGARAPÉ DO PALHA;01420.001511/2010-41;09/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;BA;SALVADOR;ALTO DO TORORÓ;01420.002946/2010-11;13/09/2010;CERTIFICADA;135/2010;04/11/2010;54160.000793/2011-14;
NORDESTE;BA;SÃO GONÇALO DOS CAMPOS;BETE II;01420.001911/2010-56;13/08/2010;CERTIFICADA;135/2010;04/11/2010;54160.002357/2011-80;
NORDESTE;BA;BOM JESUS DA SERRA;MUMBUCA E SAMAMBAIA;01420.001689/2010-91;22/07/2010;CERTIFICADA;135/2010;04/11/2010;54160.001894/2014-55;
NORDESTE;BA;CRUZ DAS ALMAS;BAIXA DA LINHA;01420.003090/2010-92;15/09/2010;CERTIFICADA;135/2010;04/11/2010;54160.000301/2011-91;
NORDESTE;CE;ARACATI;CÓRREGO DE UBARANAS;01420.002944/2010-13;13/09/2010;CERTIFICADA;135/2010;04/11/2010;54130.003129/2010-01;RTID
NORDESTE;CE;IPUEIRAS;COITÉ;01420.001659/2010-85;09/06/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;CODÓ;SANTO ANTÔNIO DOS PRETOS;01420.000187/2008-29;23/01/2008;CERTIFICADA;135/2010;04/11/2010;54230.001307/2010-23 ;TITULADO
NORDESTE;MA;CURURUPU;CONDURÚS;01420.001628/2010-24;04/03/2010;CERTIFICADA;135/2010;04/11/2010;54230.007604/2013-25 ;
NORDESTE;MA;CURURUPU;ENTRE RIOS;01420.001629/2010-10;29/03/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;CURURUPU;OITEIRO;01420.001631/2010-48;29/03/2010;CERTIFICADA;135/2010;04/11/2010;54230.007603/2013-81 ;
NORDESTE;MA;GUIMARÃES;SANTA RITA DOS CARDOSOS;01420.001703/2010-57;20/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;GUIMARÃES;SÃO BENEDITO DO CARATIUA;01420.001704/2010-00;20/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;GUIMARÃES;SÃO JOSÉ DOS PRETOS;01420.001627/2010-80;09/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;PORTO RICO DO MARANHÃO;ENGENHO DO LAGO;01420.001634/2010-81;14/06/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;TURIAÇU;SÃO JOSÉ DO BRITO MUTÁ;01420.001797/2010-64;28/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;ITAPECURU-MIRIM;NOSSA SENHORA APARECIDA;01420.001635/2010-26;19/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;PAULINO NEVES;CANTO DO LAGO;01420.003226/2010-64;02/09/2010;CERTIFICADA;135/2010;04/11/2010;;
SUDESTE;MG;BRUMADINHO;RIBEIRÃO;01420.002947/2010-57;13/09/2010;CERTIFICADA;135/2010;04/11/2010;54170.004339/2011-13;
SUDESTE;MG;BRUMADINHO;MARINHOS E RODRIGUES;01420.003089/2010-68;15/09/2010;CERTIFICADA;135/2010;04/11/2010;54170.004340/2011-48;
SUDESTE;MG;VIRGEM DA LAPA;UNIÃO DOS ROSÁRIOS;01420.001531/2010-11;08/07/2010;CERTIFICADA;135/2010;04/11/2010;54170.004342/2011-37;
SUDESTE;MG;ANGELÂNDIA;ALTO DOS BOIS, BARRA DO CAPÃO e CÓRREGO DO ENGENHO;01420.002948/2010-00;13/09/2010;CERTIFICADA;135/2010;04/11/2010;54170.004341/2011-92;
SUDESTE;MG;GOUVEIA;ESPINHO;01420.001893/2010-11;12/08/2010;CERTIFICADA;135/2010;04/11/2010;54170.004345/2011-71;
SUDESTE;MG;SABINÓPOLIS;SÃO DOMINGOS;01420.001541/2010-57;18/06/2010;CERTIFICADA;135/2010;04/11/2010;54170.006583/2010-30;
SUDESTE;MG;ITAMARANDIBA;SÃO GIL E SÃO GIL II;01420.003073/2010-55;14/09/2010;CERTIFICADA;135/2010;04/11/2010;54170.004344/2011-26;
SUDESTE;MG;CRISTÁLIA;BARREIRO;01420.003091/2010-37;15/09/2010;CERTIFICADA;135/2010;04/11/2010;54170.004348/2011-12;
NORTE;PA;ACARÁ;PARAÍSO;01420.001611/2010-77;21/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORTE;PA;BAIÃO | OEIRAS DO PARÁ;BAILIQUE;01420.001609/2010-06;21/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;PB;NOVA PALMEIRA;SERRA DO ABREU;01420.002995/2010-45;24/07/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;PE;IGUARACI;VARZINHA DOS QUILOMBOLAS;01420.001799/2010-53;10/08/2010;CERTIFICADA;135/2010;04/11/2010;54140.002181/2010-13 ;
NORDESTE;PE;SÃO BENTO DO UNA;SÍTIO BARRO BRANCO;01420.001529/2010-42;13/06/2010;CERTIFICADA;135/2010;04/11/2010;;
SUDESTE;RJ;ANGRA DOS REIS | RIO CLARO;ALTO DA SERRA DO MAR;01420.001171/2007-52;11/05/2007;CERTIFICADA;135/2010;04/11/2010;54180.000972/2006-56 ;PORTARIA NO DOU
NORDESTE;BA;SANTO AMARO;CAMBUTA;01420.003903/2010-44;29/09/2010;CERTIFICADA;135/2010;04/11/2010;54160.003849/2010-10;
NORDESTE;BA;SANTO AMARO;ALTO DO CRUZEIRO-ACUPE;01420.000009/2010-12;04/01/2010;CERTIFICADA;135/2010;04/11/2010;54160.003879/2010-18;
NORDESTE;BA;WENCESLAU GUIMARÃES;JERICÓ;01420.003850/2010-61;28/09/2010;CERTIFICADA;135/2010;04/11/2010;54160.001344/2013-55;
NORDESTE;BA;WENCESLAU GUIMARÃES;SARILÂNDIA;01420.003849/2010-37;28/09/2010;CERTIFICADA;135/2010;04/11/2010;;
NORDESTE;MA;BREJO;DEPÓSITO;01420.003185/2010-14;10/09/2010;CERTIFICADA;135/2010;04/11/2010;54230.009564/2010-11 ;RTID
NORDESTE;MA;GRAJAÚ;SANTO ANTÔNIO DOS PRETOS;01420.003184/2010-61;16/09/2010;CERTIFICADA;135/2010;04/11/2010;54230.007475/2005-65 ;
SUDESTE;MG;MARIANA;VILA SANTA EFIGENIA;01420.003941/2010-05;16/09/2010;CERTIFICADA;135/2010;04/11/2010;54170.004338/2011-79;
NORTE;TO;ALMAS;BAIÃO;01420.003654/2010-97;10/09/2010;CERTIFICADA;135/2010;04/11/2010;54400.001431/2011-71 ;
NORDESTE;PI;CAMPINAS DO PIAUÍ;SALINAS;01420.003878/2010-07;24/09/2010;CERTIFICADA;135/2010;04/11/2010;54380.002907/2006-17;
NORDESTE;BA;PIATÃ;PALMEIRA;01420.004132/2010-11;12/08/2010;CERTIFICADA;135/2010;04/11/2010;;
